leave_id,employee_id,leave_type,start_date,end_date,total_leave_days,leave_reason,approval_status,approved_by
6136,1985,Casual Leave,2025-08-08,2025-08-12,5,Personal Work,Approved,Balveer Nazareth
6137,729,Unpaid Leave,2024-06-04,2024-06-12,9,Higher Education,Approved,Anthony Mane
6138,2880,Maternity Leave,2025-04-04,2025-04-13,10,Religious Festival,Approved,Zinal Srivastava
6139,1826,Annual Leave,2024-02-16,2024-02-20,5,Family Emergency,Pending,
6140,1354,Annual Leave,2024-12-09,2024-12-12,4,Higher Education,Approved,Zaid Bhatia
6141,1753,Paternity Leave,2024-02-03,2024-02-05,3,Personal Work,Approved,Abhiram Tandon
6142,2107,Unpaid Leave,2025-05-02,2025-05-03,2,Marriage,Approved,Sarthak Sundaram
6143,2119,Paternity Leave,2025-06-24,2025-06-28,5,Child Care,Approved,Pooja Mittal
6144,2291,Unpaid Leave,2024-10-06,2024-10-06,1,Marriage,Approved,Ekta Dey
6145,1324,Maternity Leave,2025-11-20,2025-11-25,6,Medical Treatment,Approved,Hemal Natarajan
6146,90,Unpaid Leave,2025-05-01,2025-05-02,2,Family Emergency,Approved,Lucky Behl
6147,1800,Maternity Leave,2025-04-02,2025-04-11,10,Religious Festival,Approved,Barkha Babu
6148,345,Unpaid Leave,2025-06-16,2025-06-25,10,Vacation,Approved,Jacob Thaman
6149,1205,Paternity Leave,2025-12-15,2025-12-23,9,Family Emergency,Approved,Damyanti Saraf
6150,2901,Emergency Leave,2024-07-18,2024-07-25,8,Child Care,Approved,Adweta Bir
6151,1945,Annual Leave,2024-10-17,2024-10-20,4,Child Care,Approved,Isha Puri
6152,601,Annual Leave,2024-02-19,2024-02-22,4,Marriage,Approved,Hitesh Bhatia
6153,1040,Casual Leave,2024-10-04,2024-10-08,5,Personal Work,Approved,Xavier Sharma
6154,1651,Maternity Leave,2024-01-12,2024-01-21,10,Marriage,Approved,Sachi Mukhopadhyay
6155,953,Annual Leave,2024-02-08,2024-02-16,9,Family Emergency,Approved,Liam Master
6156,804,Sick Leave,2025-02-21,2025-02-26,6,Child Care,Approved,Reyansh Nagar
6157,364,Emergency Leave,2024-06-26,2024-06-26,1,Marriage,Approved,Banjeet Kota
6158,509,Emergency Leave,2024-08-06,2024-08-10,5,Religious Festival,Approved,Veer Guha
6159,1889,Emergency Leave,2025-11-12,2025-11-18,7,Child Care,Approved,Fitan Banerjee
6160,557,Emergency Leave,2024-03-31,2024-04-03,4,Higher Education,Pending,
6161,2205,Casual Leave,2025-08-12,2025-08-12,1,Higher Education,Approved,Isha Vyas
6162,2032,Casual Leave,2024-09-26,2024-10-03,8,Religious Festival,Rejected,
6163,2512,Casual Leave,2024-05-24,2024-05-28,5,Personal Work,Approved,Aarnav Roy
6164,2058,Paternity Leave,2025-01-25,2025-01-30,6,Religious Festival,Approved,Zarna Saxena
6165,780,Emergency Leave,2025-08-15,2025-08-22,8,Vacation,Approved,Jagdish Sidhu
6166,984,Emergency Leave,2024-04-21,2024-04-27,7,Higher Education,Approved,Lohit Biswas
6167,1153,Annual Leave,2024-10-03,2024-10-07,5,Vacation,Approved,Daniel Chaudhry
6168,1967,Emergency Leave,2024-12-29,2025-01-05,8,Personal Work,Approved,Pallavi Shankar
6169,2445,Emergency Leave,2025-07-29,2025-08-03,6,Medical Treatment,Approved,Aashi Chana
6170,312,Casual Leave,2024-11-11,2024-11-18,8,Marriage,Approved,Alka Bhat
6171,244,Maternity Leave,2024-05-24,2024-06-02,10,Vacation,Approved,Nitara Sachar
6172,2636,Paternity Leave,2025-06-26,2025-06-26,1,Personal Work,Approved,Ojas Wadhwa
6173,138,Unpaid Leave,2025-05-14,2025-05-20,7,Religious Festival,Approved,Qadim Deol
6174,2974,Maternity Leave,2024-11-03,2024-11-05,3,Personal Work,Approved,Omkaar Aurora
6175,2959,Casual Leave,2025-09-06,2025-09-11,6,Religious Festival,Approved,Yasti Mander
6176,2682,Paternity Leave,2025-02-20,2025-02-26,7,Religious Festival,Approved,Laksh Raj
6177,739,Sick Leave,2024-01-02,2024-01-04,3,Child Care,Pending,
6178,131,Paternity Leave,2024-04-21,2024-04-21,1,Vacation,Approved,Abdul Rattan
6179,1066,Emergency Leave,2024-02-11,2024-02-11,1,Medical Treatment,Approved,Eta Rau
6180,288,Annual Leave,2025-12-06,2025-12-09,4,Religious Festival,Approved,Chaaya Rana
6181,1727,Annual Leave,2024-12-01,2024-12-02,2,Child Care,Approved,Krishna Ravel
6182,1288,Annual Leave,2025-07-21,2025-07-22,2,Religious Festival,Approved,Laksh Master
6183,2058,Sick Leave,2024-03-15,2024-03-22,8,Personal Work,Approved,Hritik Chauhan
6184,1646,Emergency Leave,2025-08-30,2025-08-31,2,Personal Work,Approved,Yachana Golla
6185,1927,Emergency Leave,2024-04-01,2024-04-07,7,Child Care,Pending,
6186,2094,Emergency Leave,2025-07-13,2025-07-13,1,Higher Education,Approved,Lakshit Devan
6187,2391,Emergency Leave,2025-12-05,2025-12-11,7,Child Care,Approved,Yahvi Purohit
6188,2243,Sick Leave,2024-10-30,2024-11-08,10,Religious Festival,Approved,Yashodhara Hayer
6189,2917,Sick Leave,2025-11-29,2025-12-04,6,Religious Festival,Approved,Ekaraj Devan
6190,69,Maternity Leave,2024-12-08,2024-12-17,10,Family Emergency,Approved,Jack Subramanian
6191,2873,Sick Leave,2024-05-25,2024-05-28,4,Family Emergency,Approved,Nikita Thaker
6192,2353,Paternity Leave,2024-03-30,2024-04-01,3,Personal Work,Approved,Amaira Misra
6193,72,Casual Leave,2025-02-07,2025-02-11,5,Marriage,Approved,Zaid Boase
6194,2553,Maternity Leave,2024-08-30,2024-09-05,7,Family Emergency,Approved,Keya Ranganathan
6195,275,Casual Leave,2025-03-27,2025-03-27,1,Marriage,Approved,Indira Sharaf
6196,362,Maternity Leave,2025-02-08,2025-02-14,7,Personal Work,Approved,Amruta Goda
6197,1985,Casual Leave,2024-07-18,2024-07-25,8,Marriage,Approved,Yadavi Sachdev
6198,2261,Maternity Leave,2024-01-19,2024-01-20,2,Religious Festival,Approved,Shivani Loke
6199,687,Casual Leave,2024-11-26,2024-12-03,8,Personal Work,Approved,Harsh Murthy
6200,526,Annual Leave,2025-08-27,2025-08-30,4,Personal Work,Approved,Raksha Som
6201,1156,Annual Leave,2024-12-03,2024-12-03,1,Family Emergency,Pending,
6202,2958,Sick Leave,2025-12-26,2026-01-03,9,Marriage,Approved,George Khurana
6203,1464,Annual Leave,2024-03-30,2024-04-07,9,Child Care,Pending,
6204,1695,Casual Leave,2024-06-03,2024-06-10,8,Medical Treatment,Approved,Shivani Mangat
6205,835,Annual Leave,2025-01-23,2025-01-26,4,Medical Treatment,Pending,
6206,2071,Paternity Leave,2024-10-14,2024-10-17,4,Religious Festival,Approved,Waida Sami
6207,2106,Casual Leave,2024-11-29,2024-12-02,4,Child Care,Approved,Charles Dave
6208,1304,Maternity Leave,2024-01-21,2024-01-22,2,Religious Festival,Approved,Madhavi Palla
6209,2613,Sick Leave,2024-09-05,2024-09-06,2,Religious Festival,Approved,Gaurav Saran
6210,1408,Maternity Leave,2025-12-08,2025-12-17,10,Personal Work,Approved,Mitali Sarma
6211,2892,Paternity Leave,2025-11-26,2025-11-27,2,Child Care,Pending,
6212,1353,Casual Leave,2024-06-03,2024-06-11,9,Medical Treatment,Approved,Rehaan Bumb
6213,1544,Emergency Leave,2025-09-26,2025-10-01,6,Family Emergency,Approved,Onkar Chadha
6214,882,Maternity Leave,2024-05-17,2024-05-20,4,Medical Treatment,Pending,
6215,2407,Sick Leave,2024-12-24,2024-12-28,5,Medical Treatment,Approved,Chasmum Chand
6216,2244,Paternity Leave,2025-03-17,2025-03-17,1,Marriage,Approved,Zilmil Das
6217,2183,Annual Leave,2024-08-22,2024-08-26,5,Marriage,Approved,Bhavini Bali
6218,1062,Sick Leave,2024-10-27,2024-11-05,10,Family Emergency,Rejected,
6219,1277,Sick Leave,2025-04-28,2025-04-29,2,Religious Festival,Approved,Brinda Raghavan
6220,2353,Emergency Leave,2024-09-25,2024-09-28,4,Vacation,Rejected,
6221,2407,Paternity Leave,2025-09-09,2025-09-10,2,Religious Festival,Approved,Chandresh Khosla
6222,634,Emergency Leave,2024-09-27,2024-09-30,4,Medical Treatment,Approved,Janaki Goswami
6223,1212,Paternity Leave,2025-08-03,2025-08-09,7,Marriage,Approved,Aishani Trivedi
6224,344,Casual Leave,2025-08-13,2025-08-18,6,Vacation,Approved,Nitesh Mani
6225,258,Casual Leave,2025-09-16,2025-09-19,4,Vacation,Approved,Ladli Dugal
6226,1259,Casual Leave,2024-04-05,2024-04-05,1,Medical Treatment,Approved,Varenya Vig
6227,2752,Paternity Leave,2025-01-27,2025-01-28,2,Child Care,Pending,
6228,1477,Maternity Leave,2025-11-25,2025-12-03,9,Religious Festival,Approved,Advik Sunder
6229,1310,Emergency Leave,2025-06-26,2025-07-02,7,Child Care,Approved,Chakrika Toor
6230,973,Paternity Leave,2025-09-30,2025-10-04,5,Personal Work,Approved,Alka Ganguly
6231,491,Unpaid Leave,2024-03-30,2024-04-07,9,Family Emergency,Approved,Bahadurjit Tandon
6232,2448,Maternity Leave,2025-10-01,2025-10-02,2,Personal Work,Approved,Aadhya Rattan
6233,1398,Sick Leave,2025-11-11,2025-11-11,1,Medical Treatment,Approved,Jatin Sant
6234,2532,Paternity Leave,2024-07-07,2024-07-08,2,Medical Treatment,Approved,Kiaan Kannan
6235,2846,Paternity Leave,2025-06-26,2025-07-02,7,Child Care,Rejected,
6236,2827,Maternity Leave,2024-02-01,2024-02-02,2,Family Emergency,Approved,Radha Saha
6237,656,Paternity Leave,2024-07-10,2024-07-14,5,Medical Treatment,Approved,Isaac Bajwa
6238,1657,Maternity Leave,2024-12-11,2024-12-13,3,Family Emergency,Approved,Chanakya Rana
6239,623,Paternity Leave,2024-04-03,2024-04-04,2,Higher Education,Approved,Qarin Agarwal
6240,1458,Paternity Leave,2024-04-21,2024-04-27,7,Child Care,Approved,Mason Kade
6241,2533,Maternity Leave,2025-05-27,2025-06-02,7,Vacation,Pending,
6242,2168,Sick Leave,2024-01-12,2024-01-16,5,Medical Treatment,Approved,Ishaan Dubey
6243,16,Annual Leave,2024-11-02,2024-11-07,6,Family Emergency,Approved,Mitesh Bhavsar
6244,2712,Unpaid Leave,2025-07-26,2025-07-31,6,Family Emergency,Approved,Jagat Sachar
6245,2258,Paternity Leave,2025-09-10,2025-09-17,8,Marriage,Approved,Yasti Kala
6246,647,Sick Leave,2024-07-20,2024-07-20,1,Higher Education,Approved,Madhav Walia
6247,1095,Maternity Leave,2025-12-23,2025-12-28,6,Family Emergency,Approved,Adweta Kaul
6248,1041,Unpaid Leave,2024-01-08,2024-01-11,4,Medical Treatment,Approved,Lucky Barman
6249,593,Maternity Leave,2024-07-29,2024-08-03,6,Religious Festival,Approved,Dhruv Master
6250,763,Paternity Leave,2025-07-17,2025-07-17,1,Vacation,Approved,Chanchal Lata
6251,2894,Sick Leave,2025-04-07,2025-04-15,9,Child Care,Approved,Yatan Pradhan
6252,180,Casual Leave,2025-12-14,2025-12-22,9,Family Emergency,Approved,Odika Sehgal
6253,1074,Annual Leave,2025-04-07,2025-04-13,7,Personal Work,Approved,Tanish Sankar
6254,1955,Casual Leave,2024-03-08,2024-03-15,8,Child Care,Pending,
6255,2837,Maternity Leave,2024-01-18,2024-01-23,6,Vacation,Approved,Abhiram Chana
6256,1054,Unpaid Leave,2024-01-03,2024-01-04,2,Religious Festival,Approved,Ethan Bumb
6257,1785,Emergency Leave,2024-06-02,2024-06-06,5,Medical Treatment,Approved,Eshana Patla
6258,1594,Casual Leave,2024-01-08,2024-01-13,6,Family Emergency,Approved,Ekiya Sandal
6259,904,Maternity Leave,2025-11-27,2025-12-05,9,Higher Education,Approved,Upma Ramanathan
6260,2982,Emergency Leave,2024-05-08,2024-05-13,6,Marriage,Approved,Jeremiah Bora
6261,304,Sick Leave,2025-10-11,2025-10-17,7,Vacation,Approved,Vincent Kashyap
6262,1707,Paternity Leave,2025-06-12,2025-06-14,3,Family Emergency,Pending,
6263,2424,Annual Leave,2025-08-02,2025-08-03,2,Marriage,Rejected,
6264,2278,Emergency Leave,2025-10-05,2025-10-05,1,Higher Education,Pending,
6265,2414,Casual Leave,2025-12-08,2025-12-15,8,Medical Treatment,Pending,
6266,2366,Maternity Leave,2024-07-30,2024-07-30,1,Vacation,Approved,Dalbir Ganesh
6267,850,Casual Leave,2024-12-08,2024-12-09,2,Personal Work,Approved,Jackson Narayanan
6268,2135,Maternity Leave,2024-01-12,2024-01-17,6,Family Emergency,Approved,Darsh Agarwal
6269,2942,Maternity Leave,2025-07-28,2025-08-01,5,Medical Treatment,Approved,Zehaan Sen
6270,1064,Emergency Leave,2024-01-14,2024-01-23,10,Religious Festival,Approved,Arjun Parsa
6271,956,Casual Leave,2025-10-01,2025-10-08,8,Marriage,Approved,Saumya Sem
6272,2411,Casual Leave,2025-06-30,2025-07-01,2,Child Care,Pending,
6273,1943,Sick Leave,2024-03-08,2024-03-08,1,Religious Festival,Approved,Yug Balasubramanian
6274,2985,Sick Leave,2024-01-29,2024-01-31,3,Child Care,Approved,Ucchal Chacko
6275,2022,Annual Leave,2024-01-08,2024-01-16,9,Child Care,Approved,Charvi Bera
6276,2568,Maternity Leave,2025-02-03,2025-02-09,7,Religious Festival,Approved,Alexander Bhat
6277,1557,Paternity Leave,2024-08-22,2024-08-24,3,Family Emergency,Approved,Chavvi Deshpande
6278,1506,Unpaid Leave,2025-03-17,2025-03-25,9,Family Emergency,Approved,Girish Parsa
6279,2153,Sick Leave,2025-03-26,2025-04-03,9,Medical Treatment,Pending,
6280,2159,Sick Leave,2024-11-03,2024-11-05,3,Marriage,Approved,Nihal Shetty
6281,171,Emergency Leave,2025-09-24,2025-10-02,9,Child Care,Approved,Dhruv Mallick
6282,2193,Paternity Leave,2025-02-01,2025-02-05,5,Child Care,Approved,Anthony Thakur
6283,1987,Emergency Leave,2025-11-30,2025-12-07,8,Child Care,Approved,Zarna Dubey
6284,1141,Casual Leave,2025-01-31,2025-02-08,9,Personal Work,Approved,Yashasvi Taneja
6285,1150,Maternity Leave,2024-10-04,2024-10-09,6,Higher Education,Approved,Vasudha Boase
6286,1372,Sick Leave,2025-07-29,2025-07-30,2,Marriage,Approved,Harinakshi Kanda
6287,333,Emergency Leave,2024-12-15,2024-12-20,6,Religious Festival,Pending,
6288,2457,Paternity Leave,2025-07-16,2025-07-18,3,Higher Education,Pending,
6289,1125,Maternity Leave,2025-07-14,2025-07-21,8,Medical Treatment,Rejected,
6290,2810,Annual Leave,2024-07-16,2024-07-20,5,Child Care,Rejected,
6291,2802,Sick Leave,2025-03-05,2025-03-11,7,Medical Treatment,Approved,Tamanna Mann
6292,2671,Annual Leave,2025-01-06,2025-01-15,10,Child Care,Approved,Anthony Suresh
6293,1054,Casual Leave,2024-07-10,2024-07-13,4,Child Care,Approved,Bhavika Butala
6294,1457,Unpaid Leave,2025-04-02,2025-04-07,6,Religious Festival,Approved,Sara Buch
6295,2627,Emergency Leave,2025-07-29,2025-08-02,5,Child Care,Pending,
6296,1805,Maternity Leave,2024-01-27,2024-02-05,10,Vacation,Approved,Kabir Chahal
6297,205,Maternity Leave,2024-08-03,2024-08-06,4,Family Emergency,Approved,Ria Mohan
6298,250,Unpaid Leave,2024-06-07,2024-06-08,2,Marriage,Approved,Advik Tailor
6299,155,Annual Leave,2025-02-08,2025-02-13,6,Family Emergency,Approved,Owen Ahuja
6300,707,Casual Leave,2024-07-20,2024-07-22,3,Personal Work,Approved,Ikbal Nazareth
6301,2218,Unpaid Leave,2025-07-20,2025-07-23,4,Family Emergency,Approved,Upasna Wali
6302,1965,Emergency Leave,2025-06-21,2025-06-27,7,Personal Work,Approved,Charita Bhargava
6303,1786,Paternity Leave,2025-08-15,2025-08-15,1,Vacation,Pending,
6304,1125,Annual Leave,2024-05-25,2024-05-28,4,Personal Work,Approved,Rachita Ramakrishnan
6305,2268,Annual Leave,2025-07-28,2025-07-29,2,Religious Festival,Approved,Peter Misra
6306,898,Emergency Leave,2024-06-04,2024-06-07,4,Child Care,Approved,Eta Naidu
6307,1640,Paternity Leave,2024-11-08,2024-11-15,8,Religious Festival,Approved,Upkaar Ravel
6308,1337,Casual Leave,2024-08-27,2024-08-31,5,Vacation,Approved,Abha Ravi
6309,1414,Sick Leave,2025-11-14,2025-11-23,10,Child Care,Approved,Manan Loyal
6310,168,Maternity Leave,2024-02-14,2024-02-20,7,Personal Work,Approved,Devansh Patel
6311,1651,Paternity Leave,2024-12-14,2024-12-16,3,Vacation,Approved,Lajita Acharya
6312,2577,Casual Leave,2024-10-12,2024-10-15,4,Personal Work,Approved,Abdul Dhar
6313,2557,Maternity Leave,2025-04-29,2025-04-30,2,Family Emergency,Approved,Noah Shan
6314,2911,Maternity Leave,2024-11-28,2024-12-03,6,Family Emergency,Approved,Dayita Mammen
6315,2054,Casual Leave,2025-06-19,2025-06-19,1,Medical Treatment,Approved,Rohan Salvi
6316,1464,Casual Leave,2025-08-22,2025-08-25,4,Vacation,Approved,Oliver Varkey
6317,2759,Emergency Leave,2025-12-18,2025-12-25,8,Religious Festival,Approved,Gaurangi Suri
6318,2249,Sick Leave,2024-08-15,2024-08-16,2,Child Care,Pending,
6319,748,Emergency Leave,2025-12-01,2025-12-05,5,Religious Festival,Approved,Upma Jhaveri
6320,1629,Emergency Leave,2025-09-11,2025-09-19,9,Child Care,Approved,Isha Banerjee
6321,11,Emergency Leave,2025-02-26,2025-03-06,9,Vacation,Approved,Simon Sampath
6322,1969,Unpaid Leave,2024-11-20,2024-11-25,6,Medical Treatment,Approved,Indira Karnik
6323,2487,Maternity Leave,2024-05-23,2024-05-24,2,Religious Festival,Approved,Harsh Vohra
6324,1517,Annual Leave,2025-07-13,2025-07-15,3,Personal Work,Approved,Banjeet Lal
6325,1225,Annual Leave,2024-07-27,2024-07-31,5,Family Emergency,Approved,Bhavini Swaminathan
6326,1389,Sick Leave,2025-12-14,2025-12-15,2,Personal Work,Approved,Benjamin Gandhi
6327,2540,Maternity Leave,2025-04-16,2025-04-18,3,Marriage,Approved,Kavya Varughese
6328,2120,Unpaid Leave,2024-02-01,2024-02-06,6,Higher Education,Approved,Anay Barad
6329,1115,Emergency Leave,2025-06-27,2025-07-04,8,Child Care,Approved,Tripti Kota
6330,1308,Maternity Leave,2024-12-16,2024-12-16,1,Religious Festival,Approved,Siya Mannan
6331,1336,Casual Leave,2025-07-02,2025-07-11,10,Marriage,Approved,Zaitra Bose
6332,2616,Unpaid Leave,2024-10-04,2024-10-08,5,Child Care,Approved,Veda Mani
6333,2200,Emergency Leave,2024-11-02,2024-11-09,8,Child Care,Approved,Balveer Cheema
6334,2309,Sick Leave,2024-10-01,2024-10-03,3,Personal Work,Approved,Laban Bhat
6335,2509,Unpaid Leave,2024-08-01,2024-08-01,1,Marriage,Approved,Gayathri Prabhu
6336,1223,Unpaid Leave,2024-11-14,2024-11-15,2,Religious Festival,Approved,Suhani Banik
6337,2432,Emergency Leave,2025-07-08,2025-07-15,8,Vacation,Approved,Max Basak
6338,2720,Annual Leave,2024-12-30,2024-12-31,2,Religious Festival,Approved,Charvi Behl
6339,2636,Casual Leave,2025-01-30,2025-02-06,8,Marriage,Approved,Ati Batta
6340,1179,Maternity Leave,2024-06-02,2024-06-06,5,Medical Treatment,Approved,Ria Palla
6341,2701,Casual Leave,2024-06-13,2024-06-21,9,Family Emergency,Approved,Farhan Bobal
6342,1444,Casual Leave,2024-07-05,2024-07-12,8,Religious Festival,Rejected,
6343,1644,Casual Leave,2024-11-19,2024-11-20,2,Personal Work,Approved,Azaan Chandra
6344,2655,Paternity Leave,2024-11-15,2024-11-22,8,Child Care,Approved,Indali Manne
6345,2188,Casual Leave,2024-02-26,2024-03-02,6,Religious Festival,Approved,Chakrika Hari
6346,622,Sick Leave,2025-07-24,2025-07-26,3,Religious Festival,Approved,Harshil Kale
6347,1432,Maternity Leave,2024-01-27,2024-01-27,1,Religious Festival,Approved,Yutika Wason
6348,1991,Paternity Leave,2025-09-08,2025-09-17,10,Higher Education,Approved,Ansh Saha
6349,1484,Maternity Leave,2024-07-27,2024-07-28,2,Child Care,Approved,Wridesh Sem
6350,182,Sick Leave,2025-04-22,2025-04-30,9,Personal Work,Approved,Abdul Keer
6351,2573,Paternity Leave,2024-02-01,2024-02-02,2,Child Care,Approved,Abeer Kumar
6352,687,Sick Leave,2024-10-24,2024-10-27,4,Personal Work,Approved,Ekansh Bora
6353,1819,Annual Leave,2025-08-02,2025-08-06,5,Medical Treatment,Approved,Raghav Ahluwalia
6354,1031,Emergency Leave,2025-09-17,2025-09-26,10,Higher Education,Rejected,
6355,2596,Paternity Leave,2025-11-09,2025-11-10,2,Higher Education,Approved,Rehaan Prabhakar
6356,2743,Maternity Leave,2024-08-14,2024-08-21,8,Marriage,Approved,Thomas Barad
6357,1192,Annual Leave,2024-03-26,2024-04-03,9,Religious Festival,Approved,Zilmil Gandhi
6358,2343,Casual Leave,2024-05-26,2024-05-26,1,Marriage,Approved,Gaurangi Desai
6359,2046,Casual Leave,2024-04-24,2024-04-29,6,Child Care,Approved,Mitesh Kanda
6360,152,Annual Leave,2024-07-20,2024-07-27,8,Child Care,Approved,Anya Joshi
6361,413,Annual Leave,2024-08-12,2024-08-13,2,Vacation,Approved,Oliver Dutt
6362,2700,Unpaid Leave,2025-01-01,2025-01-01,1,Higher Education,Approved,Kavya Goel
6363,145,Emergency Leave,2024-02-24,2024-03-02,8,Personal Work,Approved,Tristan Datta
6364,2354,Annual Leave,2024-06-23,2024-06-30,8,Family Emergency,Approved,Charan Hayer
6365,2167,Casual Leave,2024-08-20,2024-08-25,6,Child Care,Approved,Urishilla Das
6366,2883,Sick Leave,2025-04-29,2025-04-30,2,Religious Festival,Approved,Logan Dar
6367,2369,Unpaid Leave,2025-07-25,2025-07-28,4,Child Care,Approved,Bina Reddy
6368,1824,Emergency Leave,2024-09-13,2024-09-16,4,Marriage,Approved,Hemal Bala
6369,1755,Emergency Leave,2024-07-03,2024-07-06,4,Religious Festival,Approved,Manya Walia
6370,2881,Maternity Leave,2024-04-23,2024-05-02,10,Higher Education,Approved,Sneha Garde
6371,237,Emergency Leave,2025-08-18,2025-08-20,3,Marriage,Approved,Janya Tak
6372,1107,Unpaid Leave,2025-12-15,2025-12-16,2,Marriage,Rejected,
6373,1415,Unpaid Leave,2025-07-14,2025-07-15,2,Vacation,Approved,Vincent Ray
6374,305,Casual Leave,2024-01-12,2024-01-15,4,Higher Education,Approved,Jeet Bora
6375,1270,Sick Leave,2024-03-13,2024-03-20,8,Marriage,Approved,Upkaar Pall
6376,1771,Emergency Leave,2024-03-04,2024-03-07,4,Child Care,Approved,Saksham Pathak
6377,1809,Unpaid Leave,2025-11-13,2025-11-14,2,Personal Work,Pending,
6378,2131,Annual Leave,2024-08-20,2024-08-23,4,Vacation,Approved,Karan Srinivas
6379,2721,Annual Leave,2024-07-22,2024-07-29,8,Marriage,Approved,Jeet Palla
6380,1492,Unpaid Leave,2025-04-01,2025-04-07,7,Family Emergency,Approved,Ikshita Nagar
6381,1597,Unpaid Leave,2025-11-23,2025-11-23,1,Religious Festival,Approved,Avi Chahal
6382,744,Paternity Leave,2024-08-01,2024-08-07,7,Higher Education,Approved,Neel Krish
6383,2422,Casual Leave,2025-03-09,2025-03-10,2,Child Care,Approved,Oscar Virk
6384,1758,Maternity Leave,2025-06-30,2025-07-01,2,Family Emergency,Approved,Yagnesh Bawa
6385,2754,Sick Leave,2025-10-16,2025-10-19,4,Family Emergency,Approved,Samarth Hayer
6386,310,Casual Leave,2025-08-08,2025-08-10,3,Family Emergency,Approved,Lohit Jaggi
6387,1547,Annual Leave,2025-01-20,2025-01-21,2,Family Emergency,Approved,Chandresh Gulati
6388,1365,Unpaid Leave,2025-07-17,2025-07-26,10,Child Care,Approved,Rachit Dugal
6389,1305,Emergency Leave,2025-10-26,2025-10-30,5,Personal Work,Approved,Jagat Barman
6390,1547,Casual Leave,2025-01-19,2025-01-22,4,Religious Festival,Approved,Nisha Chaudhry
6391,1148,Casual Leave,2025-11-25,2025-11-26,2,Medical Treatment,Approved,Rajeshri Anand
6392,2817,Maternity Leave,2024-08-04,2024-08-09,6,Child Care,Approved,Yug De
6393,1844,Sick Leave,2024-11-20,2024-11-28,9,Religious Festival,Rejected,
6394,592,Annual Leave,2024-09-14,2024-09-17,4,Medical Treatment,Approved,Elijah Dutta
6395,2827,Maternity Leave,2024-01-31,2024-02-03,4,Child Care,Approved,Bhavani Shere
6396,2102,Casual Leave,2025-03-18,2025-03-19,2,Personal Work,Approved,Isaac Brahmbhatt
6397,2035,Annual Leave,2025-09-12,2025-09-16,5,Family Emergency,Approved,Varenya Chacko
6398,680,Annual Leave,2024-04-23,2024-04-24,2,Marriage,Approved,Maanav Ramesh
6399,813,Sick Leave,2024-11-24,2024-11-29,6,Vacation,Approved,Vamakshi Kunda
6400,400,Annual Leave,2024-06-11,2024-06-13,3,Marriage,Approved,Anita Chawla
6401,1595,Annual Leave,2025-01-05,2025-01-08,4,Higher Education,Approved,Qasim Trivedi
6402,1618,Casual Leave,2024-08-02,2024-08-09,8,Vacation,Pending,
6403,3000,Maternity Leave,2024-04-12,2024-04-12,1,Higher Education,Rejected,
6404,1784,Annual Leave,2024-01-04,2024-01-12,9,Higher Education,Approved,Girik Guha
6405,1546,Sick Leave,2024-02-01,2024-02-10,10,Higher Education,Approved,Aadhya Raval
6406,1725,Paternity Leave,2024-04-24,2024-05-01,8,Medical Treatment,Approved,Michael Kota
6407,2608,Emergency Leave,2024-03-04,2024-03-06,3,Higher Education,Pending,
6408,604,Annual Leave,2024-01-07,2024-01-11,5,Child Care,Approved,Hemani Ramachandran
6409,2298,Annual Leave,2025-03-02,2025-03-06,5,Child Care,Approved,Ladli Parmar
6410,2353,Sick Leave,2024-03-11,2024-03-11,1,Family Emergency,Approved,Qadim Choudhary
6411,1586,Unpaid Leave,2025-10-13,2025-10-17,5,Child Care,Approved,Bhavya Trivedi
6412,1052,Maternity Leave,2024-04-08,2024-04-14,7,Medical Treatment,Approved,Sarthak Bajwa
6413,2412,Maternity Leave,2025-07-27,2025-07-28,2,Religious Festival,Approved,Vidhi Prasad
6414,2941,Paternity Leave,2024-03-30,2024-04-02,4,Vacation,Approved,Alexander Roy
6415,1585,Unpaid Leave,2025-12-10,2025-12-14,5,Vacation,Approved,Upma Kumer
6416,2313,Paternity Leave,2025-01-28,2025-02-04,8,Marriage,Approved,Irya Ramanathan
6417,1223,Sick Leave,2025-05-31,2025-06-05,6,Medical Treatment,Approved,Pooja Pandey
6418,2889,Maternity Leave,2025-08-08,2025-08-15,8,Medical Treatment,Approved,Frado Padmanabhan
6419,2263,Annual Leave,2024-01-22,2024-01-27,6,Medical Treatment,Approved,Kiaan Varma
6420,770,Emergency Leave,2024-03-19,2024-03-27,9,Child Care,Approved,Abhiram Shroff
6421,1903,Annual Leave,2025-01-22,2025-01-29,8,Medical Treatment,Approved,Oscar Kala
6422,1361,Sick Leave,2024-07-30,2024-07-31,2,Child Care,Approved,Nachiket Bava
6423,2985,Sick Leave,2024-12-29,2025-01-03,6,Child Care,Pending,
6424,15,Sick Leave,2025-01-11,2025-01-13,3,Vacation,Approved,Champak Mander
6425,2255,Paternity Leave,2025-11-12,2025-11-20,9,Personal Work,Approved,Wyatt Pathak
6426,2107,Annual Leave,2024-04-14,2024-04-16,3,Marriage,Approved,Dev Bhatia
6427,816,Unpaid Leave,2024-08-07,2024-08-12,6,Personal Work,Approved,Ishanvi Bhattacharyya
6428,787,Paternity Leave,2024-05-09,2024-05-18,10,Vacation,Approved,Manthan Singh
